state_National,total_est_pct2,total_est_pct_Bmin2,total_est_pct_Bmax2,under18_pct2,under18_pct_Bmin2,under18_pct_Bmax2,rate_2011,ID2010_U,ID2010_R
Alabama,19.2,18.8,19.6,27.4,26.6,28.2,23.1,26,14.1
Alaska,11.4,10.8,12,15.5,14.4,16.6,27.7,30.2,22.7
Arizona,18.2,17.9,18.5,25.6,24.9,26.3,27.1,27.8,14.6
Arkansas,18.7,18.3,19.1,26.3,25.4,27.2,20.6,24.6,14.7
California,16.4,16.3,16.5,22.6,22.3,22.9,31,31.2,22.3
Colorado,12.1,11.8,12.4,15.6,14.9,16.3,37.5,38.7,29.7
Connecticut,10.8,10.5,11.1,14.9,14.1,15.7,37,37.2,33.7
Delaware,13,12.5,13.5,19.2,18.1,20.3,29.4,29.4,0
District of Columbia,18.4,17.5,19.3,28.9,25.7,32.1,53.4,53.4,0
Florida,16.6,16.4,16.8,24.2,23.6,24.8,26.8,27.3,13.6
Georgia,18.4,18.1,18.7,26.3,25.7,26.9,28.3,31.3,15.1
Hawaii,11.5,11,12,15.2,14.2,16.2,30.5,31.5,26.1
Idaho,14.8,14.3,15.3,19,18.1,19.9,25.4,27.6,21.1
Illinois,14.3,14.1,14.5,20.1,19.6,20.6,31.9,34,16.9
Indiana,15.2,14.9,15.5,21.2,20.6,21.8,23.6,26.2,15.1
Iowa,12.3,12,12.6,15.5,14.7,16.3,26.4,32.1,18.9
Kansas,13.5,13.2,13.8,17.6,16.9,18.3,30.7,35.8,20.6
Kentucky,19,18.6,19.4,25.9,25.2,26.6,21.8,27.2,14.5
Louisiana,19.9,19.5,20.3,28,27.2,28.8,22.1,23.7,14.1
Maine,14,13.5,14.5,19,17.9,20.1,28.4,31.8,23.6
Maryland,10.4,10.1,10.7,13.8,13.1,14.5,37.3,37.7,22.8
Massachusetts,11.7,11.4,12,15.3,14.7,15.9,40,40,36.7
Michigan,16.2,16,16.4,22.6,22.1,23.1,26.4,28.2,18.7
Minnesota,11.4,11.1,11.7,14.8,14.2,15.4,33.2,37.1,20.5
Mississippi,21.9,21.4,22.4,30.7,29.7,31.7,20.4,24.7,16.9
Missouri,15.5,15.2,15.8,21.3,20.6,22,26.7,30.6,15.5
Montana,15.2,14.7,15.7,19.2,18.2,20.2,29.1,31.4,27.8
National,15.5,15.4,15.6,21.7,21.5,21.9,29,33.9,20.6
Nebraska,12.3,11.9,12.7,16,15.2,16.8,22.5,23.2,16.9
Nevada,15.4,15,15.8,22.2,21.2,23.2,34.4,36.1,31.6
New Hampshire,9.2,8.8,9.6,12.6,11.6,13.6,36.4,36.4,0
New Jersey,11.1,10.9,11.3,15.8,15.3,16.3,26.1,29.6,19
New Mexico,20.6,20.1,21.1,28,27,29,33.7,34.7,20.5
New York,16,15.8,16.2,22.9,22.4,23.4,27.8,30.9,17.5
North Carolina,17.2,17,17.4,24.1,23.5,24.7,27.3,34.1,21.2
North Dakota,11.1,10.5,11.7,13.7,12.6,14.8,25.6,28.2,15.6
Ohio,15.8,15.6,16,22.7,22.2,23.2,23.8,26.5,19
Oklahoma,16.6,16.3,16.9,22.4,21.8,23,30.1,32.4,19
Oregon,16.4,16,16.8,21.3,20.4,22.2,28.1,29.7,16.5
Pennsylvania,13.6,13.4,13.8,19.2,18.7,19.7,31.4,31.4,0
Rhode Island,14.8,14.3,15.3,21.2,20.1,22.3,25.3,27.1,16.5
South Carolina,17.9,17.6,18.2,26.4,25.6,27.2,26.7,29.6,24.1
South Dakota,14.1,13.6,14.6,18.4,17.4,19.4,24.4,27.6,14.2
Tennessee,18.2,17.9,18.5,25.9,25.2,26.6,27.1,28.6,15.8
Texas,17.2,17,17.4,24.5,24.1,24.9,30.6,31.4,24.8
Utah,11.8,11.4,12.2,13.4,12.6,14.2,35.2,41.6,32.1
Vermont,12,11.4,12.6,15.4,14.2,16.6,35.8,38.9,16
Virginia,11.8,11.6,12,15.9,15.3,16.5,32.3,33.4,23
Washington,13.2,12.9,13.5,17.5,16.9,18.1,18.7,21.4,14.7
West Virginia,18.3,17.8,18.8,25,24,26,27.4,30.4,19.4
Wisconsin,13.2,13,13.4,18.4,17.8,19,25.1,24.3,25.5
Wyoming,11.2,10.6,11.8,13.7,12.6,14.8,23.6,23.9,17.2
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
